,Absorbance Spectrum,Absorbance Spectrum,,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum
Wavenumber cm-1,,,,,,,,,,,,,
,Lumilog_GaN_substrate 20degC,Lumilog_GaN_substrate_80degC,LUMILOG_GaN_substrate_-160degC,B120504_InGaN_20degC,B120504_InGaN_80degC,B120504_InGaN_20degC_Vak,B120504_InGaN_-160degC_Vak,J130828_10nm_M16_InGaN_20degC_Vak,J130828_10nm_M16_InGaN_-160degC_Vak,J130828_10nm_M16_InGaN_90degC,J140228_3nm_InGaN_20degC,J140228_3nm_InGaN_90degC,J140228_3nm_InGaN_-160degC
7985.868673,0.489912421,0.537401378,1.269336939,0.399585843,0.42106092,0.569627762,0.582320273,0.746848583,0.742132425,0.710772574,0.912719309,0.875494719,0.984822631
7985.386493,0.503537059,0.542853177,1.291131735,0.398943573,0.444056571,0.559821844,0.587537229,0.750083327,0.742595315,0.706793547,0.900865495,0.879868984,0.988281429
7984.904312,0.520613432,0.551124036,1.317877293,0.404500008,0.446830362,0.543221056,0.587588072,0.747550845,0.742258787,0.710193872,0.897270918,0.88814199,0.984020531
7984.422132,0.525718808,0.552004099,1.334630728,0.416971147,0.435973018,0.531683981,0.574802995,0.741663814,0.745312691,0.716014683,0.900319636,0.892817914,0.97953105
7983.939952,0.518396497,0.553362846,1.324299216,0.428696722,0.426163703,0.524034023,0.556626797,0.734852016,0.756138504,0.716493487,0.905192256,0.893726468,0.980633914
7983.457772,0.521181583,0.562611043,1.288163185,0.434359938,0.432063043,0.542790294,0.56410265,0.729315996,0.763202965,0.70825392,0.906896651,0.894896328,0.982488453
7982.975591,0.541834533,0.556940615,1.255037904,0.429873794,0.447250128,0.565530419,0.587736726,0.731287301,0.761200607,0.701398969,0.905331969,0.89884609,0.977340341
7982.493411,0.551059425,0.531602859,1.2546103,0.42593506,0.445002913,0.546874285,0.584041715,0.738920152,0.758584976,0.702401638,0.903875768,0.90163523,0.969187021
7982.011231,0.530376375,0.507188082,1.281365991,0.426803291,0.419345796,0.500822961,0.563060284,0.740047038,0.755138397,0.705660284,0.900872111,0.897671103,0.970137
7981.529051,0.508021712,0.497368693,1.296867609,0.422984272,0.393508077,0.46919322,0.558308303,0.731551647,0.751781285,0.705981612,0.893623829,0.893079937,0.9770118
