Wavelength,OD,OD,OD,OD,OD,OD,OD,OD,OD,OD
nm,result_Lumilog_STINS_GaN_on_Sapphire,result_InN_InSaN_10nm_barrier_J130828_1_Messy_16,result_InN_InSaN_3nm_barrier_J140228_Messy_12,result_InN_InGaN_10nm_barrier_Sapphire_edge_J130828,result_InN_InGaN_3nm_barrier_Sapphire_edge_J140228,result_B120504_InGaN_T=1.04um,result_B111205_InN_center,result_B111205_InN(1.4um)_STINS_edge,result_B111205_InN(1.4um)_STINS_center,result_B111205_InN(1.4um)_Sapphire_edge
1003.444,0.367530544,2.641176374,3.007617539,2.407093168,2.917992185,2.384263942,4.012413397,3.245942259,nan,3.133235568
1005.504,0.369167185,4.84898714,2.728348782,2.613458693,4.222588635,2.495896068,nan,nan,nan,4.159905883
1007.563,0.370047816,2.68821328,3.033879308,2.451530238,2.673135408,2.378643687,nan,nan,nan,3.028345313
1009.622,0.369606642,2.748286177,2.898326722,2.516453207,3.221772353,2.471743874,nan,nan,nan,nan
1011.68,0.364799078,2.394437954,nan,2.36023502,2.8103362,2.414647855,4.238961054,nan,nan,4.507577489
1013.737,0.363627806,2.553953855,2.84917229,2.633000415,nan,2.550868416,nan,nan,nan,nan
1015.794,0.355536192,2.452804454,3.212842843,2.523219747,2.87107579,2.31650078,nan,nan,nan,3.620797938
1017.851,0.35456446,3.16401625,2.406807636,2.966964185,3.265096356,2.333490703,nan,nan,nan,4.516467862
1019.907,0.34213005,2.592402087,2.637215035,2.402952247,2.442320586,2.181650206,2.952532676,3.679793032,2.729678725,2.532216446
1021.962,0.339711888,2.715642544,2.44972617,2.564096779,2.600297529,2.295602282,3.585031935,3.28288071,3.65434857,2.888976094
1024.017,0.326420556,2.164237493,2.814747712,2.23436136,2.492917332,2.304693816,2.987426864,2.75851302,3.102439399,2.821493997
1026.071,0.325216988,2.29304791,2.630904335,2.368678089,2.834225541,2.392961232,3.538181967,3.087117494,nan,nan
1028.125,0.314068261,2.255018923,3.055868047,2.226746531,2.775485461,2.302319768,3.088491894,3.218216275,3.127667979,3.204009557
1030.179,0.311851092,2.508396022,2.719445825,2.35501862,3.287365433,2.283877106,nan,3.327875081,nan,3.64401132
1032.231,0.302541361,2.26138064,2.901867267,2.197683986,2.935781216,2.263516092,nan,2.911660511,nan,2.997915057
1034.284,0.301315148,2.362651546,2.505827951,2.246898604,3.153799727,2.311196374,nan,3.018789618,nan,nan
1036.335,0.297957999,2.228953875,2.60140119,2.162225717,2.62836224,2.22704485,3.160397166,3.341377034,4.79555572,3.155425531
1038.386,0.29865283,2.320311942,2.471756675,2.267321522,2.76760559,2.250223265,3.362604511,nan,nan,3.727817205
1040.437,0.29960097,2.18284164,2.631764889,2.168030424,2.556123392,2.18456378,2.964305144,3.080403395,nan,3.12574465
1042.487,0.300599761,2.199485956,2.422744408,2.199210197,2.751641018,2.236300637,3.190255276,2.824865797,nan,nan
1044.537,0.305697031,2.066911044,2.669820361,2.103133577,2.53075198,2.154343936,2.707702459,2.725518589,3.140274047,3.11554288
1046.586,0.30742038,2.118373269,2.572596403,2.12716085,2.834744343,2.214816632,3.055818664,2.84187252,nan,nan
1048.634,0.315780044,2.016647159,2.654801258,2.030599485,2.641480679,2.215880346,3.034053093,2.877865073,3.779636966,3.347642189
1050.682,0.318228082,2.11922528,2.400473049,2.105186727,2.704763148,2.217555259,3.538476851,3.150832613,nan,3.379599473
1052.73,0.330411089,2.066264611,2.428491628,2.057008425,2.474124869,2.14668163,2.816747113,3.072968501,3.716819058,2.823102879
1054.777,0.333294178,2.096337372,2.274922233,2.077008825,2.608671526,2.127029693,3.157635839,3.04471121,4.354916397,3.041386624
1056.823,0.345074186,1.971641862,2.401871414,1.976325148,2.432912518,2.068294191,2.843142405,2.830646133,3.321367732,2.688358604
1058.869,0.346994424,1.969460276,2.303809562,2.001450266,2.607978306,2.146993543,3.981380557,2.877795143,nan,3.220963067
1060.915,0.35657618,1.874796677,2.781380497,1.897874612,2.422509736,2.10669896,3.157032351,2.782976821,3.570758789,2.801173418
1062.96,0.358864527,1.923175201,2.409782911,1.924094283,2.973982709,2.260546689,nan,3.063447492,nan,nan
1065.004,0.365773069,1.865007963,2.512030871,1.852471701,2.521907661,2.122475753,3.622086343,2.925141663,3.460900692,3.609579227
1067.048,0.368367074,1.953559181,2.288783346,1.958961068,2.540152981,2.149012905,4.348667911,3.470289514,nan,nan
1069.091,0.371903263,1.859416911,2.538572858,1.866320158,2.3145987,2.072727936,3.005199705,2.945050998,3.129616995,2.763627769
1071.134,0.372630942,1.881838579,2.453653975,1.882637931,2.499990078,2.153017651,nan,3.329313985,nan,3.495888978
1073.176,0.372095256,1.786224193,2.449138426,1.805911291,2.498111217,2.133161577,3.914339315,3.364872642,nan,3.407117166
1075.218,0.372128015,1.84263989,2.26550311,1.854065289,2.475545423,2.125876948,3.69918778,nan,nan,3.380743491
1077.259,0.368287565,1.79537287,2.25370948,1.806124952,2.308613809,2.079853952,3.004197484,3.977593539,3.850782257,2.939071193
1079.3,0.367246891,1.784649472,2.256507739,1.785951443,2.261733042,2.047486444,3.01795588,3.326212076,3.170179818,2.961225429
1081.34,0.360690534,1.704928471,2.328325542,1.728041871,2.23734293,2.032168839,2.952548258,3.414974718,3.09025649,2.832195567
1083.38,0.35957277,1.702220982,2.290589363,1.715750059,2.295093697,2.012302644,2.891073142,3.088286469,3.105614241,2.791847424
1085.419,0.350874706,1.684949843,2.249239172,1.689108334,2.301075869,2.012695306,2.992678192,2.978877197,3.038001171,2.698891735
1087.458,0.348842335,1.684127834,2.222898879,1.68878836,2.329312333,2.010338262,3.050256954,2.840504289,3.190793245,2.775967423
1089.496,0.339259979,1.648068569,2.253105576,1.653707985,2.253405687,2.015004329,3.487556617,3.020967832,3.110014916,2.86698832
1091.533,0.33755803,1.646299761,2.228325559,1.645773803,2.260571627,2.030746244,4.064289821,3.069942277,3.21693783,2.991263748
1093.57,0.329577494,1.61744198,2.182645602,1.607614521,2.231779201,2.029287453,3.130761057,3.103411062,3.259700501,3.030093736
1095.607,0.328238129,1.625055188,2.12744548,1.608327488,2.235030469,2.020062901,2.936607536,3.092011867,3.148002729,2.862385887
1097.643,0.322131528,1.590449866,2.152529829,1.579459438,2.19049335,1.990341146,2.77906645,3.308586029,3.032709532,2.748755342
1099.679,0.320496748,1.586847132,2.107076168,1.568796183,2.189219485,1.977790167,3.012306728,2.933338117,3.056511483,2.785389116
